crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,84,29,5,1200,0,370,10,6
65079,540,36256,2962,130,19,3,1200,4,655,8,4
65079,540,36256,2962,130,19,3,1200,4,655,8,4
65079,540,36256,2962,130,19,3,1200,4,655,8,4
65079,540,36256,2962,84,19,3,1200,4,655,8,4
65079,540,36256,2962,84,19,3,1200,4,655,8,4
65079,540,36256,2962,130,19,3,1200,4,655,8,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,115,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,121,25,4,1250,2,495,2,4
553661,4443,298679,20458,60,25,4,1250,2,495,2,4
553661,4443,298679,20458,135,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,115,25,4,1250,2,495,2,4
553661,4443,298679,20458,120,25,4,1250,2,495,2,4
553661,4443,298679,20458,121,25,4,1250,2,495,2,4
553661,4443,298679,20458,115,25,4,1250,2,495,2,4
553661,4443,298679,20458,60,25,4,1250,2,495,2,4
553661,4443,298679,20458,60,25,4,1250,2,495,2,4
553661,4443,298679,20458,120,25,4,1250,2,495,2,4
553661,4443,298679,20458,115,25,4,1250,2,495,2,4
553661,4443,298679,20458,120,25,4,1250,2,495,2,4
553661,4443,298679,20458,138,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,60,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,120,25,4,1250,2,495,2,4
553661,4443,298679,20458,121,25,4,1250,2,495,2,4
553661,4443,298679,20458,115,25,4,1250,2,495,2,4
553661,4443,298679,20458,135,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,177,25,4,1250,2,495,2,4
553661,4443,298679,20458,115,25,4,1250,2,495,2,4
553661,4443,298679,20458,121,25,4,1250,2,495,2,4
553661,4443,298679,20458,60,25,4,1250,2,495,2,4
553661,4443,298679,20458,135,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,60,25,4,1250,2,495,2,4
553661,4443,298679,20458,138,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,135,25,4,1250,2,495,2,4
553661,4443,298679,20458,121,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,135,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,85,25,4,1250,2,495,2,4
553661,4443,298679,20458,115,25,4,1250,2,495,2,4
553661,4443,298679,20458,60,25,4,1250,2,495,2,4
77270,414,42932,5731,208,23,3,900,1,505,8,3
77270,414,42932,5731,108,23,3,900,1,505,8,3
77270,414,42932,5731,108,23,3,900,1,505,8,3
46031,330,28560,2366,104,20,3,1200,2,355,1,1
40311,330,32577,0,85,24,2,900,0,502,12,3
40311,330,32577,0,85,24,2,900,0,502,12,3
40311,330,32577,0,85,24,2,900,0,502,12,3
63733,520,33866,2752,85,28,4,1250,0,457,10,3
63733,520,33866,2752,153,28,4,1250,0,457,10,3
63733,520,33866,2752,153,28,4,1250,0,457,10,3
101633,0,52989,0,85,51,11,1200,1,2496,0,1
101633,0,52989,0,85,51,11,1200,1,2496,0,1
46318,420,20412,4129,60,46,11,1200,4,2419,3,1
46318,420,20412,4129,60,46,11,1200,4,2419,3,1
46318,420,20412,4129,60,46,11,1200,4,2419,3,1
46318,420,20412,4129,60,46,11,1200,4,2419,3,1
46318,420,20412,4129,60,46,11,1200,4,2419,3,1
117075,995,58941,46588,75,46,11,1200,6,2118,3,1
117075,995,58941,46588,85,46,11,1200,6,2118,3,1
117075,995,58941,46588,75,46,11,1200,6,2118,3,1
117075,995,58941,46588,85,46,11,1200,6,2118,3,1
117075,995,58941,46588,75,46,11,1200,6,2118,3,1
117075,995,58941,46588,75,46,11,1200,6,2118,3,1
117075,995,58941,46588,60,46,11,1200,6,2118,3,1
117075,995,58941,46588,60,46,11,1200,6,2118,3,1
117075,995,58941,46588,85,46,11,1200,6,2118,3,1
117075,995,58941,46588,85,46,11,1200,6,2118,3,1
117075,995,58941,46588,60,46,11,1200,6,2118,3,1
117075,995,58941,46588,75,46,11,1200,6,2118,3,1
133346,0,70586,0,75,40,10,1200,4,2044,2,0
133346,0,70586,0,85,40,10,1200,4,2044,2,0
133346,0,70586,0,85,40,10,1200,4,2044,2,0
133346,0,70586,0,85,40,10,1200,4,2044,2,0
133346,0,70586,0,85,40,10,1200,4,2044,2,0
133346,0,70586,0,60,40,10,1200,4,2044,2,0
133346,0,70586,0,75,40,10,1200,4,2044,2,0
133346,0,70586,0,60,40,10,1200,4,2044,2,0
133346,0,70586,0,75,40,10,1200,4,2044,2,0
133346,0,70586,0,75,40,10,1200,4,2044,2,0
133346,0,70586,0,85,40,10,1200,4,2044,2,0
125459,950,63104,0,60,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
125459,950,63104,0,102,44,9,1250,4,671,2,5
125459,950,63104,0,60,44,9,1250,4,671,2,5
125459,950,63104,0,60,44,9,1250,4,671,2,5
125459,950,63104,0,60,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
125459,950,63104,0,60,44,9,1250,4,671,2,5
125459,950,63104,0,60,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
125459,950,63104,0,102,44,9,1250,4,671,2,5
125459,950,63104,0,60,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
125459,950,63104,0,85,44,9,1250,4,671,2,5
46031,330,28560,2366,60,36,9,1250,2,355,1,1
46031,330,28560,2366,60,36,9,1250,2,355,1,1
46031,330,28560,2366,49,36,9,1250,2,355,1,1
46031,330,28560,2366,84,36,9,1250,2,355,1,1
46031,330,28560,2366,84,36,9,1250,2,355,1,1
46031,330,28560,2366,60,36,9,1250,2,355,1,1
46031,330,28560,2366,60,36,9,1250,2,355,1,1
86439,720,59106,6395,98,36,9,1250,3,266,1,4
86439,720,59106,6395,98,36,9,1250,3,266,1,4
86439,720,59106,6395,98,36,9,1250,3,266,1,4
86439,720,59106,6395,98,36,9,1250,3,266,1,4
86439,720,59106,6395,129,36,9,1250,3,266,1,4
67930,488,47803,0,40,36,9,1250,15,441,7,20
67930,488,47803,0,50,36,9,1250,15,441,7,20
67930,488,47803,0,40,36,9,1250,15,441,7,20
67930,488,47803,0,33,36,9,1250,15,441,7,20
67930,488,47803,0,40,36,9,1250,15,441,7,20
67930,488,47803,0,40,36,9,1250,15,441,7,20
67930,488,47803,0,40,36,9,1250,15,441,7,20
40736,322,24023,0,85,16,1,1250,6,466,3,2
40736,322,24023,0,81,16,1,1250,6,466,3,2
40736,322,24023,0,85,16,1,1250,6,466,3,2
40736,322,24023,0,85,16,1,1250,6,466,3,2
49999,0,26722,0,85,16,1,1250,8,779,7,16
77894,626,42335,0,60,23,4,1200,8,509,2,4
77894,626,42335,0,71,23,4,1200,8,509,2,4
77894,626,42335,0,71,23,4,1200,8,509,2,4
77894,626,42335,0,71,23,4,1200,8,509,2,4
77894,626,42335,0,60,23,4,1200,8,509,2,4
22883,200,13091,1127,59,21,4,1200,6,92,3,2
22883,200,13091,1127,85,21,4,1200,6,92,3,2
22883,200,13091,1127,85,21,4,1200,6,92,3,2
130701,1053,69466,0,60,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,81,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,60,23,3,1250,2,286,3,4
130701,1053,69466,0,81,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,60,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,81,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
130701,1053,69466,0,59,23,3,1250,2,286,3,4
40311,330,32577,0,108,23,3,1250,0,502,12,3
99363,743,53254,4875,85,23,3,1250,5,617,3,4
99363,743,53254,4875,60,23,3,1250,5,617,3,4
99363,743,53254,4875,85,23,3,1250,5,617,3,4
99363,743,53254,4875,60,23,3,1250,5,617,3,4
99363,743,53254,4875,85,23,3,1250,5,617,3,4
99363,743,53254,4875,60,23,3,1250,5,617,3,4
99363,743,53254,4875,60,23,3,1250,5,617,3,4
99363,743,53254,4875,85,23,3,1250,5,617,3,4
99363,743,53254,4875,85,23,3,1250,5,617,3,4
26924,213,12172,0,39,16,2,1200,4,506,6,4
26924,213,12172,0,42,16,2,1200,4,506,6,4
26924,213,12172,0,39,16,2,1200,4,506,6,4
26924,213,12172,0,39,16,2,1200,4,506,6,4
26924,213,12172,0,44,16,2,1200,4,506,6,4
42315,0,35785,3751,108,30,7,1250,3,272,5,2
42315,0,35785,3751,108,30,7,1250,3,272,5,2
42315,0,35785,3751,108,30,7,1250,3,272,5,2
66076,459,45360,54686,85,33,7,1250,0,699,2,0
66076,459,45360,54686,64,33,7,1250,0,699,2,0
66076,459,45360,54686,64,33,7,1250,0,699,2,0
66076,459,45360,54686,85,33,7,1250,0,699,2,0
66076,459,45360,54686,85,33,7,1250,0,699,2,0
66076,459,45360,54686,85,33,7,1250,0,699,2,0
66076,459,45360,54686,64,33,7,1250,0,699,2,0
66076,459,45360,54686,85,33,7,1250,0,699,2,0
191300,1546,99131,13633,92,46,11,1200,0,1362,2,0
191300,1546,99131,13633,102,46,11,1200,0,1362,2,0
191300,1546,99131,13633,92,46,11,1200,0,1362,2,0
191300,1546,99131,13633,92,46,11,1200,0,1362,2,0
191300,1546,99131,13633,102,46,11,1200,0,1362,2,0
191300,1546,99131,13633,92,46,11,1200,0,1362,2,0
191300,1546,99131,13633,102,46,11,1200,0,1362,2,0
145323,1080,71732,16845,85,45,11,1350,2,627,2,5
145323,1080,71732,16845,85,45,11,1350,2,627,2,5
145323,1080,71732,16845,85,45,11,1350,2,627,2,5
70291,0,35547,0,197,23,5,1200,1,386,11,2
67930,488,47803,0,85,28,6,1200,15,441,7,20
102809,905,47130,3486,89,27,5,1200,1,582,2,1
102809,905,47130,3486,50,27,5,1200,1,582,2,1
102809,905,47130,3486,50,27,5,1200,1,582,2,1
94100,793,54671,6989,85,61,18,1450,2,1229,1,0
94100,793,54671,6989,115,61,18,1450,2,1229,1,0
94100,793,54671,6989,115,61,18,1450,2,1229,1,0
94100,793,54671,6989,85,61,18,1450,2,1229,1,0
94100,793,54671,6989,85,61,18,1450,2,1229,1,0
94100,793,54671,6989,85,61,18,1450,2,1229,1,0
37530,320,20746,4316,85,61,18,1450,6,1233,1,1
37530,320,20746,4316,85,61,18,1450,6,1233,1,1
65452,421,39375,0,85,61,18,1450,4,1613,1,0
65452,421,39375,0,85,61,18,1450,4,1613,1,0
65452,421,39375,0,85,61,18,1450,4,1613,1,0
112366,1100,58114,0,85,61,18,1450,11,1243,1,0
112366,1100,58114,0,85,61,18,1450,11,1243,1,0
